Entity,Code,Year,Primary Energy Consumption (terawatt-hours)
Australia,AUS,1978,800.5856379382421
Australia,AUS,1979,832.3140349254406
Australia,AUS,1980,838.0664375920799
Australia,AUS,1981,844.9801408354093
Australia,AUS,1982,844.6022310607432
Australia,AUS,1983,846.4926323535063
Australia,AUS,1984,883.3886700358529
Australia,AUS,1985,890.0499014105027
Australia,AUS,1986,920.2190229875002
Australia,AUS,1987,944.9230590070846
Australia,AUS,1988,988.8308342894527
Australia,AUS,1989,1036.6497927934327
Australia,AUS,1990,1054.887549222008
Australia,AUS,1991,1048.0126908611594
Australia,AUS,1992,1058.6286546616063
Australia,AUS,1993,1088.7986048901844
Australia,AUS,1994,1132.365856903358
Australia,AUS,1995,1162.524552947921
Australia,AUS,1996,1191.8377881175572
Australia,AUS,1997,1222.0023680410543
Australia,AUS,1998,1250.5693214796543
Australia,AUS,1999,1305.306180870178
Australia,AUS,2000,1310.941737996227
Australia,AUS,2001,1323.3788124058483
Australia,AUS,2002,1343.2900607535892
Australia,AUS,2003,1363.8118525643285
Australia,AUS,2004,1409.4186713153786
Australia,AUS,2005,1405.7260394606017
Australia,AUS,2006,1489.9859885349738
Australia,AUS,2007,1510.4798947573152
Australia,AUS,2008,1538.3304902012983
Australia,AUS,2009,1527.8442325717697
Australia,AUS,2010,1534.1029636243104
Australia,AUS,2011,1585.8081676820823
Australia,AUS,2012,1565.6027545844947
Australia,AUS,2013,1573.5473710456451
Australia,AUS,2014,1598.6109661483608
Australia,AUS,2015,1619.2295892568532
Australia,AUS,2016,1653.0123656870128
Australia,AUS,2017,1634.0995887188105
Australia,AUS,2018,1678.5216783644187
Austria,AUT,1965,184.26470558555454
Austria,AUT,1966,192.68538368589222
Austria,AUT,1967,194.60438173184707
Austria,AUT,1968,208.32398470244428
Austria,AUT,1969,216.4862862842099
Austria,AUT,1970,247.221341493147
Austria,AUT,1971,247.61070498572187
Austria,AUT,1972,256.2001997358727
Austria,AUT,1973,275.25925870277274
Austria,AUT,1974,275.57137406586224
Austria,AUT,1975,273.3203797592352
Austria,AUT,1976,284.20144344044274
Austria,AUT,1977,283.48820874199816
Austria,AUT,1978,296.0738418974789
Austria,AUT,1979,313.07418562991086
Austria,AUT,1980,311.40114760658315
Austria,AUT,1981,301.48208899283486
Austria,AUT,1982,291.26766437950624
Austria,AUT,1983,290.53557187260543
Austria,AUT,1984,288.731489856568
Austria,AUT,1985,302.77975503858397
Austria,AUT,1986,305.65634841254945
Austria,AUT,1987,321.9955860932325
Austria,AUT,1988,317.05754248493054
Austria,AUT,1989,318.9387122910032
Austria,AUT,1990,324.7771530429641
Austria,AUT,1991,341.15957327807547
Austria,AUT,1992,334.478222111393
Austria,AUT,1993,339.9943112892047
Austria,AUT,1994,338.1912951284402
Austria,AUT,1995,354.51748702835175
Austria,AUT,1996,356.06712881623355
Austria,AUT,1997,363.14729964849334
Austria,AUT,1998,368.7275547066838
Austria,AUT,1999,376.35103765204354
Austria,AUT,2000,377.37849566745973
Austria,AUT,2001,392.60805102441816
